學校代碼,學校名稱,專任教師數男,專任教師數女,兼任教師數男,兼任教師數女,職員數男,職員數女,班級數,學生數男,學生數女,上學年畢業生數男,上學年畢業生數女
070415,國立北斗家商,37,73,12,36,4,12,55,477,1406,134,440
071413,私立大慶商工,37,40,34,16,15,38,80,1890,1113,670,373
071414,私立達德商工,88,105,46,29,13,28,139,3722,2759,1260,1025
080401,國立仁愛高農,24,27,0,0,10,9,18,307,221,94,75
080403,國立埔里高工,62,30,4,3,11,17,41,981,321,323,92
080404,國立南投高商,33,70,13,18,4,16,44,552,770,163,290
080406,國立草屯商工,58,81,16,18,13,16,57,954,874,299,320
080410,國立水里商工,34,42,7,5,9,13,36,591,509,203,179
081409,私立同德家商,44,64,20,18,9,19,67,1431,1259,395,377
090401,國立虎尾農工,62,40,0,0,19,11,42,1037,386,311,127
090402,國立西螺農工,69,59,14,4,16,15,50,1399,451,435,165
090403,國立斗六家商,31,46,13,29,3,18,34,402,844,134,267
090404,國立北港農工,52,33,0,0,8,15,30,860,125,260,65
090413,國立土庫商工,43,47,5,3,6,14,34,483,731,146,279
091410,私立大成商工,83,58,12,12,17,17,86,2203,1251,770,490
091414,私立大德工商,41,21,5,7,4,8,35,548,448,259,151
100402,國立民雄農工,71,38,6,0,9,18,40,1065,166,371,66
101405,私立協志工商,74,51,32,30,12,18,89,2029,1457,626,532
101406,私立萬能工商,50,35,14,6,17,12,55,1355,863,457,301
101407,私立弘德工商,17,6,1,0,6,0,12,132,73,59,26
110401,國立新化高工,51,44,16,8,13,15,40,1075,324,342,134
110403,國立白河商工,34,44,4,6,6,17,30,421,163,178,81
110404,國立北門農工,74,64,12,19,16,20,57,1275,614,426,214
110405,國立曾文家商,24,49,6,10,6,11,32,251,891,62,323
110406,國立新營高工,75,40,3,4,14,16,45,1114,291,327,89
110407,國立玉井工商,41,36,7,5,9,11,32,637,334,212,158
110409,國立臺南高工,138,81,54,27,23,23,88,2624,336,831,127
110410,國立曾文農工,68,64,11,5,15,21,54,1191,535,373,204
111416,私立天仁工商,17,11,7,6,4,7,14,219,146,92,68
111419,私立陽明工商,28,13,21,8,4,12,24,533,313,205,151
111427,私立育德工家,44,40,9,10,5,10,43,760,690,252,241
120401,國立旗山農工,61,43,0,0,16,15,39,963,328,357,128
120402,國立岡山農工,92,70,55,17,17,21,70,1675,676,505,258
120409,國立鳳山商工,80,83,9,16,13,22,77,1113,1551,315,474
121405,私立中山工商,151,190,14,23,17,37,178,5919,3507,1917,1245
121410,私立旗美商工,8,5,9,6,2,3,17,222,123,86,38
121413,私立高英工商,62,46,35,15,12,22,83,1980,805,770,315
121415,私立華德工家,18,17,25,20,5,2,37,547,331,151,125
121417,私立高苑工商,51,52,42,24,13,25,79,1915,956,698,308
130401,國立內埔農工,55,40,0,0,16,12,37,808,418,256,151
130403,國立屏東高工,100,74,21,10,21,16,70,1873,344,561,126
130404,國立佳冬高農,35,64,10,12,11,12,46,837,615,253,212
130410,國立東港海事,38,52,0,0,11,18,38,922,475,267,125
130417,國立恆春工商,47,49,8,16,6,15,39,573,471,128,122
131409,私立民生家商,22,37,30,59,4,15,54,964,1048,304,305
131416,私立華洲工家,12,9,17,13,7,10,21,276,195,116,109
131418,私立日新工商,19,14,23,27,1,11,29,462,234,125,74
140404,國立關山工商,29,29,0,0,6,15,19,204,141,62,49
140405,國立臺東高商,41,58,12,8,4,15,42,504,740,123,276
140408,國立成功商水,17,19,0,0,5,10,13,192,111,63,46
141406,私立公東高工,29,24,10,8,9,20,41,897,581,199,202
150401,國立花蓮高農,44,47,0,0,10,15,35,522,445,149,153
150404,國立花蓮高工,99,53,14,8,17,20,58,1432,248,383,103
150405,國立花蓮高商,33,60,7,16,2,18,38,453,831,143,284
150411,國立光復商工,23,21,1,4,7,10,18,198,149,68,52
151410,花蓮縣上騰工商,29,36,4,11,9,13,32,542,289,157,99
160401,國立澎湖海事水產,65,50,5,2,13,24,47,865,559,193,143
170403,國立基隆海事,60,62,3,6,12,19,50,912,693,246,247
170404,國立基隆商工,71,85,12,19,7,21,68,1151,1238,398,475
171405,私立光隆家商,18,26,15,9,2,7,30,316,588,172,283
171407,私立培德工家,15,15,0,0,2,9,25,473,286,122,106
180403,國立新竹高商,22,78,20,26,5,16,48,607,1248,192,419
180404,國立新竹高工,71,63,4,2,9,21,51,1332,485,418,145
190404,國立臺中家商,54,115,4,11,8,19,83,384,2289,135,850
190406,國立興大附農,51,107,39,45,16,21,84,1457,1425,455,485
190407,國立臺中高工,160,100,73,24,26,30,112,3392,518,1104,190
191412,財團法人光華高工,54,41,19,17,13,19,55,1957,293,709,156
200401,國立華南高商,37,70,0,0,4,17,42,561,1035,215,311
200405,國立嘉義高工,153,70,18,10,22,21,97,2411,714,746,252
200406,國立嘉義高商,42,72,7,8,0,21,46,517,1155,198,350
200407,國立嘉義家職,17,81,4,11,7,13,42,0,1243,0,419
201408,私立東吳工家,57,65,29,29,16,17,86,1652,1861,571,599
201411,私立大同高商,6,2,6,8,0,5,4,53,31,51,51
210408,國立臺南高商,51,99,8,17,6,13,66,584,1631,167,528
210416,國立臺南海事,45,29,8,10,11,10,33,826,303,251,111
211407,私立南英商工,43,51,55,41,11,20,75,1858,851,527,306
211412,私立亞洲餐旅,21,20,12,12,5,5,30,727,548,244,205
211419,私立慈幼工商,44,22,32,10,13,14,45,1428,313,491,91
311401,私立育達家商,53,126,57,82,5,30,141,2951,3598,875,1314
321402,私立協和工商,60,45,43,16,16,23,63,1517,433,665,271
323401,市立松山家商,54,132,4,2,4,19,78,820,1913,228,604
323402,市立松山工農,118,101,16,5,16,30,79,2322,515,599,144
331402,私立東方工商,11,29,5,8,1,5,29,352,584,195,246
331403,私立喬治工商,18,30,8,10,2,17,24,251,491,105,173
331404,私立開平餐飲,36,38,1,1,2,8,37,1007,524,323,148
333401,市立大安高工,152,115,13,9,23,32,101,3228,511,994,200
341402,私立稻江護家,18,56,17,37,8,17,50,0,2037,0,749
351402,私立開南商工,45,38,31,14,8,14,55,1458,375,526,158
361401,私立稻江高商,32,49,34,18,5,15,47,793,1069,231,419
383401,市立木柵高工,97,74,0,0,20,19,57,1743,317,495,124
393401,市立南港高工,134,99,30,8,28,26,90,2653,319,792,138
403401,市立內湖高工,89,63,0,0,12,24,58,1873,290,591,64
411401,私立華岡藝校,12,15,69,105,1,6,18,213,612,70,170
413401,市立士林高商,65,147,0,0,7,24,90,977,2272,286,741
421404,私立惇敘工商,41,23,4,4,8,7,36,923,119,376,80
521401,私立中華藝校,27,23,48,37,10,14,32,421,870,151,275
533401,市立海青工商,84,95,3,5,19,15,74,1238,1272,386,458
533402,市立三民家商,41,101,3,4,1,24,57,535,1607,147,509
551402,私立樹德家商,60,163,70,123,6,39,161,2453,4728,874,1646
553401,市立高雄高工,145,89,9,9,18,19,90,2844,451,888,137
563401,市立高雄高商,42,111,12,17,3,15,73,682,1753,197,567
581401,私立國際商工,17,15,14,7,4,7,16,286,103,141,56
581402,私立三信家商,57,124,79,98,10,28,149,2422,2981,767,1083
593401,市立中正高工,108,77,1,3,12,24,74,2135,428,676,119
611401,私立高鳳工家,17,5,3,5,1,7,14,204,111,92,40
710401,國立金門農工,57,28,13,4,20,13,41,642,437,194,168
351B09,私立南華高中進修學校,7,20,9,9,6,9,30,553,504,228,166
361B09,私立志仁中學進修學校,10,8,24,33,3,9,42,878,764,344,296
011C71,私立光華高商進修學校,3,8,14,16,4,4,20,436,355,182,135
020C01,國立宜蘭大學附設農工職業進修學校,4,0,2,2,0,2,2,25,11,36,9
190C01,國立臺中科技大學附設高商進修學校,1,5,0,0,0,0,3,37,48,65,112
210C01,國立成功大學附設高工進修學校,19,16,11,14,3,5,27,269,87,111,36
350C01,國立臺北商業大學附設高商進修學校,2,6,3,4,0,2,5,69,120,36,92
060F01,國立臺中啟明學校,0,0,0,0,0,0,3,34,29,17,12
070F01,國立和美實驗學校,0,0,0,0,0,0,12,172,252,73,70
543F01,市立楠梓特殊學校,0,0,0,0,0,0,2,0,39,0,7
030G92,國立桃園農工進校分校,0,0,0,0,0,0,4,107,0,0,0
031G91,私立宏德高商進修學校,0,0,12,5,0,0,3,88,0,24,0
070G91,國立員林高中進校分校,0,0,7,6,0,0,7,227,84,0,0
070G92,國立二林工商進校分校,0,0,8,12,0,0,3,58,0,15,0
111G91,私立樹德高中進修學校,0,0,14,1,0,0,3,91,0,27,0
151G91,私立正德高中進修學校,0,0,16,1,0,0,3,83,0,27,0
